-10446, -52897, 1, 5,
-10477, 32055, 1, -3,
-31699, -42275, 3, 4,
-21041, -31661, 2, 3,
-31668, 42670, 3, -4,
-31703, -42275, 3, 4,
-31684, -21039, 3, 2,
-31704, 42675, 3, -4,
-42291, 10811, 4, -1,
-10433, 53290, 1, -5,
32047, -31656, -3, 3,
10785, 32050, -1, -3,
-52934, 21438, 5, -2,
10796, 21433, -1, -2,
-42304, 53296, 4, -5,
10813, 32053, -1, -3,
-21101, -42279, 2, 4,
42626, -10419, -4, 1,
-52933, 53290, 5, -5,
-21101, -10425, 2, 1,
42624, 32053, -4, -3,
21378, 32049, -2, -3,
-21050, -10423, 2, 1,
-42299, -10422, 4, 1,
-10442, -21040, 1, 2,
42616, 53292, -4, -5,
-10466, 42671, 1, -4,
-10474, 10811, 1, -1,
-52950, -52897, 5, 5,
-42320, -10422, 4, 1,
32010, 42675, -3, -4,
53272, -10424, -5, 1,
10792, -31662, -1, 3,
53288, -10424, -5, 1,
42629, -31657, -4, 3,
-52937, 10816, 5, -1,
42618, 53295, -4, -5,
32047, 32049, -3, -3,
-21045, 53293, 2, -5,
-21056, 10817, 2, -1,
21420, -21043, -2, 2,
42621, -52899, -4, 5,
32002, -10427, -3, 1,
53265, 42677, -5, -4,
42631, 32049, -4, -3,
-21058, 32058, 2, -3,
53291, 32049, -5, -3,
-31703, -21046, 3, 2,
-52953, -10422, 5, 1,
32037, -42284, -3, 4,
53232, -42280, -5, 4,
53268, 32052, -5, -3,
-31715, -10423, 3, 1,
32018, -42283, -3, 4,
-52929, 53295, 5, -5,
-21077, -21046, 2, 2,
-21061, -21037, 2, 2,
32026, -10420, -3, 1,
21427, 21436, -2, -2,
-10477, -10424, 1, 1,
-10473, 10815, 1, -1,
32047, -31657, -3, 3,
-10473, 42677, 1, -4,
-52922, -42276, 5, 4,
32034, 21434, -3, -2,
42640, -52899, -4, 5,
42669, 32058, -4, -3,
-31664, -31660, 3, 3,
-21100, -10422, 2, 1,
42637, 53287, -4, -5,
21388, -52897, -2, 5,
-21082, 21430, 2, -2,
42658, -52897, -4, 5,
42621, 42671, -4, -4,
-42281, -42280, 4, 4,
-10453, -21037, 1, 2,
-52950, 10813, 5, -1,
-21090, -10418, 2, 1,
10796, -52897, -1, 5,
42626, -42276, -4, 4,
32014, 42673, -3, -4,
-31680, 42672, 3, -4,
53289, 32053, -5, -3,
21400, 10818, -2, -1,
-52918, 10812, 5, -1,
42666, -21038, -4, 2,
21411, 10815, -2, -1,
32002, 42676, -3, -4,
21375, -52895, -2, 5,
-21041, -42280, 2, 4,
53248, 32056, -5, -3,
-21073, -21044, 2, 2,
-21099, 53292, 2, -5,
-31695, -52901, 3, 5,
-21080, -42277, 2, 4,
53232, 32055, -5, -3,
21394, 42668, -2, -4,
21383, 42677, -2, -4,
-21088, -21045, 2, 2,
21388, 42676, -2, -4,
-21061, 10812, 2, -1,
21415, 21438, -2, -2,
-10439, 42677, 1, -4,
10805, -42278, -1, 4,
-31701, 10816, 3, -1,
-21057, -31661, 2, 3,
32015, -31657, -3, 3,
-21061, -10422, 2, 1,
21410, 53296, -2, -5,
21431, -21040, -2, 2,
21408, 53296, -2, -5,
-31719, -42283, 3, 4,
42633, 21435, -4, -2,
-52930, -52897, 5, 5,
21391, 53292, -2, -5,
42618, -10425, -4, 1,
-42295, -21046, 4, 2,
42617, -10426, -4, 1,
21420, -10421, -2, 1,
42637, -42275, -4, 4,
-52899, -10423, 5, 1,
-31718, -52898, 3, 5,
42639, 32053, -4, -3,
-21093, -42276, 2, 4,
-42303, 21432, 4, -2,
-21085, 53289, 2, -5,
21426, -52899, -2, 5,
-21049, -21039, 2, 2,
-31700, 53287, 3, -5,
21434, -31661, -2, 3,
-10437, -21038, 1, 2,
32050, -52896, -3, 5,
21411, -21044, -2, 2,
-52940, -52894, 5, 5,
32006, 21439, -3, -2,
21386, -42280, -2, 4,
53277, -21044, -5, 2,
-52940, 42668, 5, -4,
-10441, 42672, 1, -4,
-10482, -31659, 1, 3,
-52931, -31661, 5, 3,
-10424, -52903, 1, 5,
-21089, -10423, 2, 1,
-10471, -52894, 1, 5,
-42322, -52903, 4, 5,
42672, -21046, -4, 2,
10797, -52903, -1, 5,
42613, 42670, -4, -4,
-42334, 10820, 4, -1,
42663, -10423, -4, 1,
10772, 21432, -1, -2,
21415, -31660, -2, 3,
-52918, 32056, 5, -3,
-52929, 42677, 5, -4,
-52958, -42281, 5, 4,
-52958, -10419, 5, 1,
32005, 42672, -3, -4,
-52949, 53291, 5, -5,
42631, -52894, -4, 5,
21391, -52895, -2, 5,
42656, -42284, -4, 4,
-10462, 21435, 1, -2,
-10479, -31660, 1, 3,
-52940, -21037, 5, 2,
-42279, -52903, 4, 5,
53259, -52898, -5, 5,
10792, 53292, -1, -5,
-42291, 21439, 4, -2,
-52902, -10422, 5, 1,
-42319, 21430, 4, -2,
-10446, -21045, 1, 2,
21388, -42277, -2, 4,
32026, -42276, -3, 4,
42618, 10814, -4, -1,
-31696, 10812, 3, -1,
53245, 21433, -5, -2,
-42294, -10419, 4, 1,
-10470, -52903, 1, 5,
53272, 42675, -5, -4,
-21093, 53288, 2, -5,
10807, -42280, -1, 4,
-21088, -21040, 2, 2,
42625, -31661, -4, 3,
21431, -52894, -2, 5,
42621, -10427, -4, 1,
32006, -42280, -3, 4,
42654, 53287, -4, -5,
-10453, 42669, 1, -4,
-10438, -31661, 1, 3,
-42326, -52896, 4, 5,
-31684, -52897, 3, 5,
-10442, -10418, 1, 1,
-31720, -21042, 3, 2,
10792, 21438, -1, -2,
-42338, -31660, 4, 3,
53272, -42284, -5, 4,
53277, -52898, -5, 5,
10792, -52897, -1, 5,
-42297, -31656, 4, 3,
-42330, -31665, 4, 3,
-10471, -31665, 1, 3,
10812, -42283, -1, 4,
-52945, -31663, 5, 3,
-10433, 32051, 1, -3,
21432, -10427, -2, 1,
53284, 10814, -5, -1,
10816, -42284, -1, 4,
-10466, -31660, 1, 3,
-52953, 10815, 5, -1,
-42329, -42280, 4, 4,
-10442, 53290, 1, -5,
10809, -42283, -1, 4,
-52916, 10815, 5, -1,
53282, 53292, -5, -5,
-52958, -42279, 5, 4,
21420, 42671, -2, -4,
-31691, -31664, 3, 3,
-42306, 32058, 4, -3,
42618, 32051, -4, -3,
53275, -10423, -5, 1,
42614, 32050, -4, -3,
-31664, -10424, 3, 1,
32019, -21040, -3, 2,
42621, 21438, -4, -2,
32022, -31658, -3, 3,
21420, 10818, -2, -1,
-52929, 53296, 5, -5,
42669, -10421, -4, 1,
-31712, -10420, 3, 1,
-42334, 10816, 4, -1,
-52923, 21439, 5, -2,
10782, -10423, -1, 1,
-10442, -42284, 1, 4,
-52899, 10811, 5, -1,
42653, 53288, -4, -5,
21394, -31656, -2, 3,
21431, -21038, -2, 2,
-31704, 21433, 3, -2,
32013, -10418, -3, 1,
-21091, 10811, 2, -1,
-52958, -42281, 5, 4,
-42312, -21041, 4, 2,
42622, -52899, -4, 5,
42650, 10811, -4, -1,
53280, -21045, -5, 2,
-21065, 42672, 2, -4,
42657, 21434, -4, -2,
-10440, -42275, 1, 4,
31997, -52898, -3, 5,
-42304, -10427, 4, 1,
-10458, 42676, 1, -4,
-42311, 10818, 4, -1,
21396, 10812, -2, -1,
-31718, -52903, 3, 5,
-21101, -31656, 2, 3,
-21052, 10818, 2, -1,
53277, -52900, -5, 5,
42634, -31664, -4, 3,
-21101, -31662, 2, 3,
-31669, 10816, 3, -1,
42615, 32054, -4, -3,
-10442, -42275, 1, 4,
-21075, 10815, 2, -1,
10776, 53295, -1, -5,
-52942, -42283, 5, 4,
-21053, -21046, 2, 2,
32050, -10420, -3, 1,
42669, 21433, -4, -2,
-10446, -31660, 1, 3,
53240, 10816, -5, -1,
-21045, -31661, 2, 3,
10756, 42676, -1, -4,
21417, 10815, -2, -1,
10780, 32057, -1, -3,
-52953, -52896, 5, 5,
-42339, -21039, 4, 2,
10781, -42277, -1, 4,
10801, 21431, -1, -2,
31995, 32050, -3, -3,
-10446, -31664, 1, 3,
-10457, 21436, 1, -2,
-10434, -42283, 1, 4,
-31707, -42277, 3, 4,
-42298, 21439, 4, -2,
-21052, 53293, 2, -5,
-10447, 42668, 1, -4,
42617, 42673, -4, -4,
-52922, 21430, 5, -2,
-31661, -52899, 3, 5
